Gene1,Gene2,Correlation
ENSG00000184811.4,ENSG00000287148.1,0.9588652463060454
ENSG00000120049.20,ENSG00000135917.16,0.9586822869873552
ENSG00000252621.1,ENSG00000244402.3,0.9586354187075514
ENSG00000196616.14,ENSG00000176194.18,0.958107026131111
ENSG00000166819.12,ENSG00000176194.18,0.9572463546351541
ENSG00000287148.1,ENSG00000135917.16,0.9569885293493682
ENSG00000174697.5,ENSG00000165269.13,0.9563181924734858
ENSG00000181092.10,ENSG00000167676.4,0.9557200391153805
ENSG00000187288.12,ENSG00000287148.1,0.9555336313030353
ENSG00000287148.1,ENSG00000176194.18,0.9554124716385661
ENSG00000181092.10,ENSG00000176194.18,0.9552639589184515
ENSG00000165269.13,ENSG00000161649.13,0.9539615073000491
ENSG00000184811.4,ENSG00000120049.20,0.9527638132623661
ENSG00000174697.5,ENSG00000287148.1,0.9523960812365264
ENSG00000176194.18,ENSG00000120049.20,0.9518835332445038
ENSG00000167588.13,ENSG00000135917.16,0.951872105022786
ENSG00000166819.12,ENSG00000135917.16,0.9518118868981739
ENSG00000170323.9,ENSG00000166819.12,0.9512012768484351
ENSG00000120049.20,ENSG00000161649.13,0.951072498594297
ENSG00000287148.1,ENSG00000161649.13,0.9508904870961681
ENSG00000176194.18,ENSG00000135917.16,0.9506829165908648
ENSG00000187288.12,ENSG00000079435.10,0.9502158755067247
ENSG00000229314.5,ENSG00000228278.5,0.9500749534289115
ENSG00000167588.13,ENSG00000196616.14,0.9500643556310213
ENSG00000167588.13,ENSG00000287148.1,0.9498453579915566
ENSG00000184811.4,ENSG00000135917.16,0.9497492268600015
ENSG00000167588.13,ENSG00000120049.20,0.9492839459983391
ENSG00000187288.12,ENSG00000120049.20,0.9492277607511396
ENSG00000235687.9,ENSG00000148513.18,0.9477237320815695
ENSG00000170323.9,ENSG00000184811.4,0.9475287504097915
ENSG00000167676.4,ENSG00000165269.13,0.947462660764012
ENSG00000174697.5,ENSG00000135917.16,0.9474462969801929
ENSG00000174697.5,ENSG00000120049.20,0.9470490975642938
ENSG00000167588.13,ENSG00000079435.10,0.9462074405539881
ENSG00000079435.10,ENSG00000165269.13,0.9459845902862277
ENSG00000252621.1,ENSG00000148513.18,0.9458951853630579
ENSG00000125740.14,ENSG00000170345.10,0.9451820222593542
ENSG00000167676.4,ENSG00000079435.10,0.9443484814596602
ENSG00000187288.12,ENSG00000135917.16,0.9436006710026847
ENSG00000167676.4,ENSG00000176194.18,0.9432493003785875
ENSG00000170323.9,ENSG00000187288.12,0.9426515844944805
ENSG00000169245.6,ENSG00000169248.13,0.9421940588952743
ENSG00000171564.12,ENSG00000171557.17,0.9418674148315325
ENSG00000167588.13,ENSG00000138207.14,0.9417626244291513
ENSG00000170323.9,ENSG00000167676.4,0.9413053949616775
ENSG00000123500.10,ENSG00000230838.1,0.9409943866326014
ENSG00000234918.1,ENSG00000252621.1,0.9404696111970019
ENSG00000166819.12,ENSG00000287148.1,0.9401338454175985
ENSG00000287148.1,ENSG00000079435.10,0.9388399318390785
ENSG00000176194.18,ENSG00000079435.10,0.9383688991289033
ENSG00000235687.9,ENSG00000252621.1,0.9378471533632614
ENSG00000184811.4,ENSG00000161649.13,0.9373540235331217
ENSG00000166819.12,ENSG00000120049.20,0.9373519141404811
ENSG00000110484.7,ENSG00000124935.4,0.9369246649954349
ENSG00000239951.1,ENSG00000211592.8,0.9363348766469799
ENSG00000101057.16,ENSG00000175063.17,0.936119093634786
ENSG00000187288.12,ENSG00000161649.13,0.9360601478246392
ENSG00000174697.5,ENSG00000161649.13,0.9356066589343229
ENSG00000176194.18,ENSG00000161649.13,0.9354051101872013
ENSG00000181092.10,ENSG00000165269.13,0.9351090715403648
ENSG00000079435.10,ENSG00000120049.20,0.9349586785231985
ENSG00000181092.10,ENSG00000135917.16,0.9348648214419643
ENSG00000167676.4,ENSG00000196616.14,0.9345292261765423
ENSG00000187608.10,ENSG00000126709.15,0.9342695234560118
ENSG00000168079.17,ENSG00000161649.13,0.9335716170775696
ENSG00000143546.10,ENSG00000163220.11,0.9329769549018745
ENSG00000174697.5,ENSG00000184811.4,0.9326082130140475
ENSG00000167676.4,ENSG00000135917.16,0.9313599786360534
ENSG00000187288.12,ENSG00000174697.5,0.931010783473672
ENSG00000211598.2,ENSG00000211592.8,0.9295589394637731
ENSG00000211938.2,ENSG00000224650.2,0.9294910158208608
ENSG00000196616.14,ENSG00000165269.13,0.9292837450645814
ENSG00000278828.1,ENSG00000196747.4,0.9291007475323109
ENSG00000167588.13,ENSG00000161649.13,0.9290891264823937
ENSG00000196616.14,ENSG00000101938.15,0.928436544232296
ENSG00000165269.13,ENSG00000004776.13,0.9282190563755931
ENSG00000166819.12,ENSG00000079435.10,0.9281020102696743
ENSG00000196616.14,ENSG00000135917.16,0.9274386105923725
ENSG00000170323.9,ENSG00000167588.13,0.9273759031345181
