Model,Accuracy,Precision,Recall,F1_score
Random Forest,0.9047619047619048,0.8630952380952381,0.9047619047619048,0.8825396825396824
Logistic Regression,0.8095238095238095,0.8231292517006802,0.8095238095238095,0.7991452991452993
k-NN,0.8095238095238095,0.7896825396825398,0.8095238095238095,0.793825222396651
SVM (RBF),0.8095238095238095,0.7738095238095238,0.8095238095238095,0.7904761904761906
XGBoost,0.6190476190476191,0.6178571428571429,0.6190476190476191,0.6161616161616161
