Gene,Importance
ENSG00000124249.7,0.018562013284936348
ENSG00000136883.14,0.014410072747727265
ENSG00000054598.9,0.014285411040174218
ENSG00000115648.14,0.014064097879223842
ENSG00000109436.8,0.013707711947463732
ENSG00000141738.14,0.013261155149669999
ENSG00000144218.19,0.01289564984861096
ENSG00000198729.5,0.012886793479360992
ENSG00000157303.11,0.012565102173210198
ENSG00000163661.4,0.012512560816255134
ENSG00000137699.17,0.011936327770824668
ENSG00000187244.12,0.011822578667321238
ENSG00000112936.19,0.01173396636516453
ENSG00000117115.13,0.01137022341144442
ENSG00000253768.1,0.011192783533143529
ENSG00000185479.6,0.011072294703772894
ENSG00000129514.8,0.010573041292759718
ENSG00000147697.9,0.010369245457563485
ENSG00000197253.13,0.010096220892890289
ENSG00000064787.13,0.010092744643064649
