Gene,Coef_Magnitude
ENSG00000159388.6,0.15388519340749243
ENSG00000152049.6,0.15097728232532157
ENSG00000258616.5,0.14391985115719602
ENSG00000107984.10,0.14283310446399805
ENSG00000188910.8,0.14147016381690944
ENSG00000105388.16,0.13540819590998204
ENSG00000163661.4,0.133439240471306
ENSG00000142973.14,0.1282412579641474
ENSG00000170786.12,0.12729592496088665
ENSG00000094804.12,0.1227130501601569
ENSG00000112936.19,0.11745925252960862
ENSG00000141738.14,0.11354712986384281
ENSG00000244731.8,0.11345967270392136
ENSG00000127083.7,0.11331661027207832
ENSG00000143412.10,0.10479773716567445
ENSG00000163739.5,0.10266984441957064
ENSG00000135374.11,0.10227856149043538
ENSG00000133328.4,0.10138025209767627
ENSG00000125869.10,0.09996056626295036
ENSG00000171346.16,0.09947897183336843
