,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
ENSG00000110484.7,0.020556708724172715,0.04850113218779043,-0.03770161038320793,0.07917079471655508,0.07930750676005288,-0.023455049882500606,0.013672651609605834,0.02820315963894118,-0.03491239998482529,0.037226600787883125,-0.0121916463386496,0.11101371094832402,-0.059063867708637176,0.032049371963897046,-0.04257752138826638,0.035716917803615446,-0.03570420474059406,0.011525183253246436,-0.08834912101861798,0.01693464572300128,0.06616168357985207,0.09015408582275157,0.037368730841898734,0.021511004516002064,-0.04826274527110548,0.031521744426024914,0.07051817505557564,-0.04186092261553808,0.03294410451216296,-0.007186344816554828,-0.04246863375737397,0.02269859949672451,0.030034967947319666,0.0020483891201538954,-0.010222933810169614,0.021554651974630225,-0.03028954098795634,0.002892179509444096,-0.009275278144474866,-0.0017821214886433324,0.044175818345674155,-0.005136244550624961,0.01006599284826755,-0.04907583163275676,0.010322363948829504,-0.025351198819750103,-0.013105101299098986,-0.01595123978990201,-0.014267340023610435,0.002405465501171814
ENSG00000159763.4,0.037194508816457576,0.04457491793443655,-0.04821058186776174,0.07413736682075561,0.05865134075629867,0.009796416697651227,0.033892060626686996,-0.021425553876434474,0.03409595320989949,-0.08050700281978303,-0.009679137705697612,0.03822205506294098,-0.011093083983033833,0.028558040110526144,-0.07766821124806297,0.03084434506983556,0.06343787465642406,-0.03219536279055873,0.021488661965510497,-0.02893396823089924,-0.01092310177639266,0.06971073306693645,0.03636805418666125,-0.023419867001860047,0.027792192021529886,0.038554112422685985,-0.009450286835659603,-0.040647207446154125,-0.04478209012032242,-0.00754819175509319,-0.05081253416942092,0.016168918603510937,0.05238201528105591,0.03170941123044136,0.05296261100263749,-0.0066781563870047965,-0.051500023273190566,0.03813580365105158,0.017504702137285978,-0.015850230100277682,-0.007440674416444901,0.006206401935968613,0.10844587393149607,-0.017134719861327908,0.05995727208827414,0.00833819925321632,0.024775219217892087,0.04611666038429122,0.040293920396150686,-0.08035797957577345
ENSG00000124935.4,0.028764378176813286,0.04581872272200278,-0.039868171338263134,0.06477437709909263,0.05600894456836926,-0.02228283422482058,0.00933091027665396,0.0024133066661640936,-0.034827613644075085,0.04492976390140383,-0.01318035789931785,0.12167353329596592,-0.029867573112703005,0.014303476487460548,-0.03816877918805616,0.038237212574455635,-0.03924572594718652,0.03617943458630733,-0.08816168734028448,0.023170798986092325,0.06302362490976858,0.12921550623045863,0.0002553538812865263,0.03773689194869472,-0.037794407126403896,0.06798096743435117,0.09931873143437576,-0.03848977711499655,-0.0264123535144908,-0.010166280311356421,-0.05720590074873262,0.0021295512498528584,0.0009833852048909612,0.013339451747588523,-0.007828340005711247,0.07156858196161285,-0.011671411606804231,0.008550107958268221,-0.005337208697163268,0.024388538944114833,0.07778234766780745,-0.011222793264209182,0.013242274460826011,-0.04517066050743346,-0.011571589548960605,-0.04931519474738932,-0.004344965898972414,-0.029811330904233678,-0.013825982338958466,-0.019426923014088764
ENSG00000143556.9,-0.016892244798798476,-0.0011801188516470619,0.02366127977613277,0.07049270880178579,0.10264157110801761,0.032193347678613635,0.08028298064235871,0.05233040752136168,0.04458153190940874,-0.07037353111315607,0.024907876236252208,-0.11475198866187278,0.014109204170432902,-0.0374701744252002,-0.01750693478074573,-0.061090325885395765,0.029847901885658938,0.0435258517058778,0.032811395406776384,-0.029824527414509402,0.02743374125843171,-0.04080293596924848,-0.03410536056242701,-0.03309413533976766,-0.10521888743640379,0.006117428393879585,0.030986523735778843,-0.021276144245487693,0.021766935757857098,0.01621986922382025,0.010371525342836266,0.030888300627524526,0.11684133279219897,0.03192976723800243,-0.05222910470077385,-0.02932440113467617,0.052389427136417026,0.002155914998604731,-0.042830687237525374,0.07150020421365039,-0.06705637376821028,-0.013262788467169846,-0.05015849223440112,0.07666872735089279,0.037760201125125806,0.000347551054582267,0.07348448472277525,-0.039014305641482054,-0.030874664727638137,-0.000844033339890346
ENSG00000160182.3,-0.0042766130443675785,0.073648782252526,-0.05297634242245345,0.013706543792858725,-0.010512916016306975,-0.023227204464948546,0.012971160375430248,0.015480042851712353,0.06300077692699041,0.04460379767715845,-0.04235742516195778,0.02254911164240511,-0.02292691564166992,-0.00801443168014771,-0.03056929426917298,-0.09877660359120896,-0.07179992236178216,-0.06792319733088945,-0.046977024264070855,0.016961472966010294,-0.036924175943727655,0.01130311375084181,-0.013926722804225203,-0.045940320999746646,0.028334175013245633,0.02804855832348747,0.022004928680198103,0.038720162337067765,0.060347994446661626,0.08586908280256596,-0.0535048911386003,-0.031636061600818145,0.04640116882270205,0.039149062471369615,0.009412916526080634,0.002664305238315519,-0.002561566114077122,0.07663208177149292,-0.044102508129924965,0.01362454942838729,-0.0806752502886326,-0.007486396003537432,0.013654951199816502,0.019321421829233038,0.0005793833395812613,-0.04197724446660942,-0.002778332369172705,0.0665720698790694,0.0040522374201283524,-0.01877491421880167
ENSG00000244468.1,0.005660773155422206,0.06315864325991859,-0.011551818328695573,0.00010485171390219499,0.11146503364217075,-0.07885981856264282,0.013928789159657506,0.04493385417426158,0.011050844137510434,-0.000832950260271756,-0.001809031935173738,0.024244544985695983,0.0030549134255747536,0.040113943827354816,-0.04903841232889604,0.11915340769921362,-0.03215627793257059,-0.0029809308368791356,0.03070625199899586,0.09366952349183902,-0.031558094504602015,0.047276137708476475,-0.0007728993472649671,0.027697390838330022,0.059454280092943866,0.020453542072644916,-0.005236350836155702,0.013959944966355102,-0.020037662913638937,-0.037705089634310844,-0.05181699959688764,-0.050337994434100475,-0.029456895515199484,-0.0014557847688208714,0.051856556162075164,0.01012949676049236,0.04521932909336117,0.023814217452437413,-0.03454759566604686,-0.05565091051965821,0.012893370148063299,0.0837996554160661,0.026422145527664524,-0.08054640794691185,0.04980777949050981,0.03864236680682754,-0.05386218673513066,-0.042031091324572244,-0.03548012691030153,0.02532340865019233
ENSG00000172551.11,0.04000904876986215,0.020983275669250703,-0.004979767414465269,0.052483116525620384,0.14936075657247108,-0.07191174689451178,0.021914969547466592,0.029187318963079262,0.033599925362789856,-0.021457414750257125,0.015449553517882134,0.01848733947755091,-0.021621808855578135,-0.01529437444589413,0.0101734867585228,0.030793094877616282,0.01832904473340284,-0.01344645984833498,0.008048743328149909,0.059861067074883055,-0.006836171146015732,0.020888578856259946,0.020574721792004032,-0.02463428659836701,0.04579550460931572,-0.005860006551801271,0.019369723949659613,-0.03957471700453752,0.013473594873299024,0.03578728045189365,0.053323134120744325,-0.018253326932215572,-0.04800064718467226,-0.025591994809592386,-0.0024745755547529794,-0.03472353095282098,0.025283788062333463,0.0654637083483285,-0.07083315026187596,-0.07457462409821311,0.07423876195040631,0.0076891818550824465,0.021322052097645185,0.012158143520149064,-0.03866873874429188,-0.02064265653532797,-0.0824405664948663,-0.012267964166650816,-0.03194075293068885,0.0002466396949398375
ENSG00000166509.12,-0.018675448827858702,0.032149496409297,-0.026625319769489467,0.023370178348511354,0.03786580527558964,0.07606317952437353,0.06541253428930668,-0.005840625259566832,-0.008706502790006294,0.0177246600216237,0.015983024430984524,-0.006933776092322027,0.04292408681570221,0.10791067690057733,-0.05473184828260383,0.1058206870476772,0.03259682815360177,0.09896279862679262,-0.001781836484686751,0.0741891831209168,0.02825750804092271,0.0195789293089984,-0.004604530233872777,-0.046202368051144894,0.02106636435467622,-0.004890400716658066,0.05588020555441217,0.0666103854928906,0.1195394291243882,-0.016797891092977895,-0.05807147398870438,-0.0828658607326631,0.05459159564484095,-0.020917242829293248,0.06602527610711638,0.020399728994339977,-0.05484476667109359,0.009407096906540903,-0.09463349583970662,0.03187246811774273,0.004893648810916568,0.06892199894245066,0.10663979098512687,0.1288740719984391,-0.0329113794792707,0.06620517184824248,0.0398398127340212,0.09016083617176882,0.030114284355851544,-0.12184664748513055
ENSG00000170323.9,0.07146148212240319,-0.020922788945012937,-0.05656126767471402,-0.0680887101859178,0.007610034798207841,0.040044390358088426,-0.01782901727762121,0.03611108244543648,0.04727580961481605,0.013661597682292838,-0.009240524057785172,0.0025371596699322093,0.04339097185366129,-0.012086874615048067,-0.036952519475407765,-0.006794282706877428,-0.007886315370353999,0.0032661649533460976,0.012344126764609364,-0.0027911024025914504,0.0051169867513495195,0.0071899026411476,-0.055830028346459455,0.0005269481105074481,0.02835843333169175,0.0020622408993691494,-0.007743072076873231,0.028456455456466464,-0.010783744168121282,-0.022785622829178794,0.03197419758411075,0.009296866376829043,0.014503514048217052,-0.01860578090650606,0.07595937269183037,0.0013593013781002252,0.019535904557548,0.06227175078433662,-0.0062887874264616886,0.005627781869491368,-0.014923009093265615,0.05738780537174694,0.017713757925061975,0.0032264640695858584,0.010165257447793941,0.011751956886810662,-0.0024455644976614545,-0.0034066685783109537,0.01987410197947265,-0.006079927737833153
ENSG00000186847.6,0.062051871524159,-0.03231695068355011,0.01081094092720746,0.07718887331132412,-0.07890300700443995,-0.034002917557745205,0.0029659982878315165,0.07105034526526058,0.013323748995939409,-0.015247849703194954,0.03955595852917239,0.0018014090699089024,-0.03812595057777958,-0.038502288113761135,-0.04026872032225884,-0.024389606371213086,0.04935778115115817,0.022046385010523216,-0.0007918184426903276,0.023675331823673523,-0.0511067675708438,-0.009655299452130797,0.054423446994101995,0.06832423182116278,-0.0013321327270089626,0.05654922161937823,-0.0012173387336664322,0.009192548573504308,0.0071006445833250225,0.002216116744085298,-0.06367461670952249,-0.011347964654701696,0.014354766832118221,-0.040696790285190035,0.03553501068525145,-0.0106738664585216,-0.0631200469835866,-0.03698417061120387,0.0046568708880744105,-0.0411834480647183,-0.009430834364690034,0.029924694350319466,0.02309299994827077,0.016007952275766606,-0.0034138317344491694,0.010158164198300323,0.01961776321730535,0.027453669768192482,-0.009603284516246568,0.025588905721150777
