Model,Type,Accuracy,Precision,Recall,F1_score
Random Forest,Classical ML,0.9047619047619048,0.8630952380952381,0.9047619047619048,0.8825396825396824
Logistic Regression,Classical ML,0.8095238095238095,0.8231292517006802,0.8095238095238095,0.7991452991452993
k-NN,Classical ML,0.8095238095238095,0.7896825396825398,0.8095238095238095,0.793825222396651
SVM (RBF),Classical ML,0.8095238095238095,0.7738095238095238,0.8095238095238095,0.7904761904761906
Random Forest (Latent),Autoencoder Latent Space,0.8181818181818182,0.8,0.8181818181818182,0.7803030303030302
PyTorch Deep Neural Network,Deep Learning,0.8181818181818182,0.75,0.8181818181818182,0.7792207792207791
Logistic Regression (Latent),Autoencoder Latent Space,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6181818181818182
XGBoost,Classical ML,0.6190476190476191,0.6178571428571429,0.6190476190476191,0.6161616161616161
