,precision,recall,f1-score,support
Basal,1.0,1.0,1.0,5.0
Her2,1.0,1.0,1.0,2.0
LumA,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
LumB,0.875,1.0,0.9333333333333333,7.0
Unknown,0.0,0.0,0.0,1.0
accuracy,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
macro avg,0.7416666666666667,0.7666666666666667,0.7533333333333333,21.0
weighted avg,0.8630952380952381,0.9047619047619048,0.8825396825396824,21.0
