Gene,N_Samples,N_Events,Median_Expression,High_Group_N,Low_Group_N,LogRank_pvalue,Cox_coef,Cox_HR,Cox_HR_95CI_lower,Cox_HR_95CI_upper,Cox_pvalue,Significant_LogRank_p05,Significant_Cox_p05
ENSG00000124935.4,82,13,6.632324787442298,41,41,0.13874280998796984,0.05834338163197786,1.060078944858096,0.9272546373431183,1.2119296297631987,0.39299917282891395,No,No
ENSG00000110484.7,82,13,8.351775902691557,41,41,0.17669934466271697,0.05527812463283873,1.0568345055132764,0.930288707365451,1.2005941415826873,0.39560644832632075,No,No
ENSG00000143556.9,82,13,1.4945948049134954,41,41,0.32305665544496814,-0.018214441434992602,0.9819504389179148,0.8516369895370429,1.1322038337193965,0.8020196393883919,No,No
ENSG00000159763.4,82,13,7.168812809798133,41,41,0.5365181146212744,-0.053723386051676515,0.9476942156874033,0.8383008036379381,1.0713628360486007,0.3906314252257135,No,No
ENSG00000160182.3,82,13,6.692182636778776,41,41,0.5741545975270645,0.009903837245598795,1.0099530425479741,0.8860149461340406,1.1512279252201223,0.8821364977703141,No,No
