Classifier,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8235294117647058,0.8078431372549019,0.8235294117647058,0.8071301247771835
XGBoost,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8110516934046345
Random Forest,0.7647058823529411,0.6638655462184874,0.7647058823529411,0.7005347593582888
SVM (RBF),0.7647058823529411,0.6470588235294118,0.7647058823529411,0.6941176470588236
k-NN (k=5),0.5882352941176471,0.5176470588235295,0.5882352941176471,0.5428401663695782
