Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,PAM50_subtype
0.0,0.14402214,0.0,0.4310696,0.268531,1.5392474,0.90968716,0.0,0.0,0.0,0.06853867,0.0,0.05240076,0.33755648,0.0,0.0,0.0,0.0,1.3233945,0.0,0.0,0.0,1.8162693,0.0,0.0,0.0,0.902244,0.7582433,0.0,0.364793,0.4196113,0.0,LumB
0.0,1.096731,0.0,0.23579474,0.10084033,0.71834964,0.1406359,0.0,0.3237005,0.0,1.0327314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4905889,0.0,0.0,0.0,0.30758303,0.16750973,0.12379303,0.46176118,0.1859902,0.83243287,0.0,0.97067505,0.5126314,0.0,LumA
0.0,1.7329141,0.0,0.71261364,0.0,0.0,0.0,0.0,0.0,1.2662834,0.0,0.7465004,0.0,1.1929224,2.245615,0.0,0.0,1.1847167,0.0,0.0,0.0,2.6348896,0.65920043,0.0,0.0,1.6819004,1.4592957,0.0,0.0,0.98479885,0.7430235,0.0,LumB
0.0,0.12690106,0.0,1.9559429,2.1148095,0.0,0.0,0.0,0.0,0.554212,1.5667629,0.0,0.0,0.20461392,0.0,0.3199674,0.0,0.76360005,3.1860824,0.0,0.0,0.0,0.0,0.0,0.0,0.67878765,0.0,0.0,1.6388618,0.0,0.7112175,0.98015386,Unknown
0.0,1.8271831,1.3070791,0.38515,1.4344543,0.0,1.0409442,0.0,0.0,0.0,1.6015674,0.0,0.0,0.0,0.83601934,0.0,0.0,0.20522645,0.116653904,0.0,0.0,0.0,0.38479114,0.5308686,0.0,0.18180469,0.0,0.0,0.03504119,1.662116,0.0,0.3669246,LumB
0.0,0.90992343,0.0,0.5436963,0.16747524,0.934825,0.0,0.0,0.33695838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6258183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23917435,1.8930575,0.0,0.51014906,0.97429776,0.0,LumB
0.0,0.0,0.54708344,0.49054033,0.0,0.0,1.4554012,0.0,0.12790349,0.0,0.0109744,0.0,0.7173926,0.0,0.0,0.014470257,0.0,0.13549235,0.0,0.0,0.8816213,0.76747155,0.0,1.9792658,0.0,0.11225122,0.0,0.0,0.0,0.05811459,0.47495076,0.0,Her2
0.0,0.0,0.0,1.1859063,0.0,0.5104255,0.0,0.0,0.24241388,0.0,2.3669868,0.0,0.13405591,0.0,0.0,0.0,0.0,0.0,0.41412455,0.0,0.3670283,0.0,0.0,0.9728532,0.1303877,0.74386054,0.0,1.963129,0.0,0.29837185,1.1632408,0.14868286,LumA
2.0295858,0.0,1.0312183,0.0,0.0,0.0,0.0,0.5940583,0.0,1.1078229,0.0,0.0,0.0,1.6440427,0.0,1.829839,0.9596164,0.73764604,0.0,2.5727692,3.6704428,0.0,0.0,0.0,0.7090833,0.0,0.24971266,0.0,0.0,0.0,0.0,0.7436363,Basal
0.0,0.0,0.893934,0.0,0.0,2.2728026,0.0,2.248387,0.92830294,0.0,0.0,0.11379653,0.0,0.5735912,0.0,1.6615301,2.4245586,0.0,0.0,1.4885608,0.116416365,0.0,0.0,2.0296636,0.0,0.0967644,0.0,0.0,0.14211208,0.0,0.0,0.0,LumA
