Model,Analysis_Type,Accuracy,Precision,Recall,F1_score
Logistic Regression (Latent),Autoencoder latent features,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6181818181818182
Random Forest (Latent),Autoencoder latent features,0.8181818181818182,0.8,0.8181818181818182,0.7803030303030302
